#{"t_start": 1676997645.5759246, "env_id": "PathColav3d-v0"}
r,l,t
-20171.89519,2905,15672.102853
-20144.312831,1556,15694.889751
-20064.981123,2576,15726.441635
-1456.122177,808,15738.057722
-20132.265432,1838,15763.291079
-20058.348315,3247,15805.391641
-1977.35998,912,15817.757363
-20007.146051,2892,15857.24048
-2752.359209,1319,15873.230136
-931.002738,554,15882.441057
-20059.745662,2580,15914.601142
-1492.655359,706,15925.564693
-6313.529174,2810,15964.616836
-2628.854039,1203,15980.184775
-1112.889404,544,15985.17026
-4711.645333,1661,16008.627075
-2347.98047,1271,16024.548338
-1151.227339,604,16034.333796
-20125.797563,1834,16059.658548
-20110.559437,1819,16080.678046
-20310.625105,2278,16113.925703
-8147.693009,1111,16128.555232
-20151.035784,3226,16170.67539
-2305.896131,1159,16185.49656
-20021.382969,1600,16208.825947
-20032.004469,5541,16280.536577
-20194.45466,1841,16305.417046
-20097.859225,2449,16336.255293
-1435.854454,670,16346.694194
-1371.473859,555,16351.79314
-2705.425102,1394,16372.852412
-20118.610738,1907,16399.206204
-14295.52539,2532,16430.599997
-6198.299503,2767,16468.703057
-1737.198135,930,16481.476106
-20177.876854,1037,16495.487024
-20146.603259,5258,16564.324624
-20269.60929,1704,16583.753781
-20164.638355,1738,16608.19817
-2695.012642,1493,16630.750249
-20092.144837,3355,16674.855099
-1604.513477,722,16685.88172
-2586.527588,1353,16702.859789
-20009.885065,2213,16731.380548
-20220.264747,819,16743.09497
-20107.117315,2220,16771.933626
-20075.329513,2850,16810.742532
-20180.409069,2167,16839.5279
-4150.699044,1961,16866.034551
-20080.644964,2868,16905.426522
-20151.322143,2224,16934.580143
-15395.010548,1169,16949.438224
-9970.463445,2497,16980.307648
-1084.139056,620,16990.349328
-20107.784053,2074,17018.172489
-20188.598843,3839,17070.999728
-2025.003943,872,17083.139464
-2943.511681,1495,17101.201771
-6885.55063,1721,17125.85464
-20049.363397,2238,17154.97059
-20123.551088,1170,17170.394648
-2833.757499,1413,17191.522686
-20145.404518,1047,17205.384163
-933.741593,612,17211.037728
-1035.509853,683,17221.524938
-2490.03684,1222,17236.832965
-20129.770466,1439,17254.322974
-1434.449353,786,17265.902426
-2709.863356,1024,17279.610717
-20073.017005,1326,17296.243342
-20246.844872,2146,17329.334533
-1626.376687,982,17342.213677
-20031.820526,1494,17360.407135
-20156.651844,2074,17387.763184
-1565.359472,830,17399.639003
-20164.84655,2522,17431.976596
-8695.8481,2024,17459.153633
-20099.40295,1372,17480.498558
-9729.954266,2023,17507.775007
-20055.797038,1226,17523.132128
-2422.298216,1181,17538.324312
-20208.653153,5436,17609.615379
-20055.165556,1968,17636.35927
-20167.881987,2122,17664.688799
-6871.978799,1731,17689.013718
-20083.094891,2530,17721.076725
-733.473981,519,17730.175592
-20158.607648,1938,17756.40918
-19695.930413,2855,17795.414451
-1310.439173,629,17801.382374
-3197.815376,1352,17818.043951
-1969.236541,902,17830.675848
-2678.693338,1248,17850.640716
-850.150635,592,17856.095241
-2252.187058,1017,17869.313664
-20181.854343,2130,17897.412207
-1733.768614,881,17909.680581
-20456.350411,1792,17934.796353
-20082.485761,3030,17975.251756
-20035.60472,1956,18001.970751
-20154.480223,2400,18033.049822
-20116.342384,2731,18070.714497
-20012.29521,3878,18123.458338
-20011.98425,1597,18142.296924
-1225.276194,568,18151.895224
-20129.280871,3235,18193.74468
-1208.06361,629,18199.454883
-20055.456011,2878,18238.847869
-1327.5394,628,18248.617862
-20024.064478,1174,18263.655608
-20257.528275,2521,18295.301253
-20336.5931,1184,18314.646235
-3394.142821,1549,18333.270136
-20040.003248,3037,18374.420036
-1030.767407,630,18384.274603
-1077.509647,541,18389.29435
-1478.387219,637,18399.45809
-20176.604093,3781,18450.413559
-1211.897268,561,18455.401038
-5233.18658,2131,18483.244135
-20159.310169,2273,18512.700961
-865.774963,498,18521.552624
-20112.099918,1316,18537.80289
-20302.423969,1279,18554.299967
-20058.103895,2250,18587.498484
-1534.316273,783,18594.672847
-20136.749595,2417,18629.741337
-1722.836634,685,18635.932782
-1172.604134,664,18646.321831
-12341.404293,4770,18711.363884
-20003.616724,1895,18737.101935
-1622.060833,1123,18751.50136
-20156.13642,3277,18794.000515
-20095.096441,3597,18839.586989
-8666.152533,3908,18891.641424
-2131.851606,809,18903.333463
-1995.697709,862,18915.641975
-20158.639252,870,18928.036363
-2615.187225,1151,18942.806313
-20028.950766,2214,18972.048563
-20392.736989,1336,18988.222269
-20170.166349,1143,19003.226228
-20107.36425,2372,19038.437113
-1110.388168,676,19044.459864
-1595.499638,726,19055.013855
-2314.733766,1071,19068.977911
-792.754962,577,19078.449012
-2287.668401,943,19091.463802
-1462.458754,694,19097.921131
-20143.758469,2896,19137.617235
-20061.501541,1598,19161.022106
-20138.393298,3519,19206.093188
-20535.731244,3752,19257.017584
-20068.248009,3227,19299.102574
-20001.147735,2122,19326.808941
-20025.92777,2009,19354.064935
-1943.529763,799,19365.40771
-3904.269649,1942,19392.043819
-3108.432391,709,19398.507999
-5134.24548,1984,19425.356123
-2694.915655,1321,19446.198801
-20339.789728,1175,19461.052115
-2435.782443,872,19473.356683
-20099.631123,1752,19493.364093
-3166.138329,1380,19514.560634
-20138.416358,3534,19560.537906
